Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['Z_val_bulk', 'q_M', 'active_site_oxidation_state', 0.99, 0.86057, 0.27]
['q_M', 'en_pauling', '3rd', 0.68, 0.85567, 0.267]
['Z_val_atom', 'q_M', '5th', 0.03, 0.85504, 0.264]
['Z_val_atom', 'q_M', '3rd', 0.83, 0.85012, 0.26]
['Z_val_atom', 'q_M', '1st', 0.74, 0.84966, 0.261]
['Z_val_bulk', 'q_M', 'q_O', 0.26, 0.84778, 0.275]
['q_M', 'n_d_el_active', 'active_site_oxidation_state', 0.87, 0.84364, 0.276]
['Z_val_atom', 'q_M', 'active_site_oxidation_state', 0.86, 0.84364, 0.276]
['Z_val_atom', 'q_M', 'n_d_el_active', 1.0, 0.84364, 0.276]
['active_site_oxidation_state', '3rd', '4th', 0.58, 0.84056, 0.272]
['Z_val_atom', 'q_M', 'bandgap', 0.28, 0.84019, 0.267]
['n_d_el_active', 'active_site_oxidation_state', '5th', 0.15, 0.83593, 0.272]
['Z_val_atom', 'active_site_oxidation_state', '5th', 0.13, 0.83593, 0.272]
['Z_val_atom', 'n_d_el_active', '5th', 0.99, 0.83593, 0.272]
['q_O', 'n_d_el_active', 'active_site_oxidation_state', 0.59, 0.83567, 0.295]
['Z_val_atom', 'q_O', 'active_site_oxidation_state', 0.55, 0.83567, 0.295]
['Z_val_atom', 'q_O', 'n_d_el_active', 1.29, 0.83567, 0.295]
['Z_val_atom', 'q_M', 'q_O', 0.34, 0.83462, 0.284]
['Z_val_atom', 'q_M', '2nd', 0.92, 0.83426, 0.268]
['bulk_metal_oxidation_state', '3rd', '4th', 2.12, 0.83268, 0.274]
['Z_val_atom', 'q_M', 'en_pauling', 0.83, 0.83255, 0.279]
['Z_val_bulk', 'q_M', 'bulk_metal_oxidation_state', 0.58, 0.83001, 0.288]
['Z_val_atom', 'q_M', 'bulk_metal_oxidation_state', 1.07, 0.83001, 0.288]
['Z_val_atom', 'Z_val_bulk', 'q_M', 0.63, 0.83001, 0.288]
['Z_val_atom', 'q_M', 'c6', 0.92, 0.82975, 0.277]
['adjacent_site_oxidation_state', '3rd', '4th', 0.56, 0.82948, 0.271]
['q_M', 'n_d_el_adjacent', 'adjacent_site_oxidation_state', 0.82, 0.82893, 0.292]
['Z_val_atom', 'q_M', 'adjacent_site_oxidation_state', 0.79, 0.82893, 0.292]
['Z_val_atom', 'q_M', 'n_d_el_adjacent', 1.0, 0.82893, 0.292]
['q_M', 'q_O', 'n_d_el_adjacent', 0.3, 0.82866, 0.302]
['Z_val_atom', 'q_M', 'atomic_radius', 0.78, 0.82814, 0.287]
['q_M', 'atomic_radius', '3rd', 0.84, 0.82725, 0.291]
['Z_val_bulk', 'bulk_metal_oxidation_state', '5th', 0.39, 0.82649, 0.291]
['Z_val_atom', 'bulk_metal_oxidation_state', '5th', 0.85, 0.82649, 0.291]
['Z_val_atom', 'Z_val_bulk', '5th', 0.64, 0.82649, 0.291]
['Z_val_atom', 'q_M', 'd_MO', 0.86, 0.82623, 0.294]
['Z_val_atom', 'q_M', 'd_MM', 0.87, 0.82586, 0.293]
['Z_val_atom', 'q_M', 'magmom', 0.8, 0.82518, 0.291]
['Z_val_atom', 'q_M', '4th', 0.81, 0.82504, 0.289]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', '5th', 0.84, 0.82452, 0.295]
['q_M', 'n_d_el_adjacent', 'active_site_oxidation_state', 0.84, 0.82366, 0.319]
['n_d_el_active', 'active_site_oxidation_state', '4th', 0.78, 0.82321, 0.292]
['Z_val_atom', 'active_site_oxidation_state', '4th', 0.77, 0.82321, 0.292]
['Z_val_atom', 'n_d_el_active', '4th', 2.29, 0.82321, 0.292]
['Z_val_bulk', 'active_site_oxidation_state', '5th', 0.28, 0.82313, 0.28]
['active_site_oxidation_state', 'c6', '4th', 0.87, 0.82243, 0.302]
['d_MO', '3rd', '4th', 0.59, 0.82049, 0.297]
['q_M', 'bandgap', 'c6', 0.47, 0.82013, 0.281]
['Z_val_bulk', 'active_site_oxidation_state', '4th', 0.39, 0.81942, 0.293]
['magmom', 'n_d_el_active', 'active_site_oxidation_state', 0.64, 0.81898, 0.291]
['Z_val_atom', 'magmom', 'active_site_oxidation_state', 0.61, 0.81898, 0.291]
